# Freq.,Pxx2,Pxx3,Pxx4
1.510000000000000000e+02,1.448176814743905043e-08,4.663537993583595299e-08,5.059236923061072439e-08
1.520000000000000000e+02,1.595510413932283757e-08,4.032052610504446205e-08,5.646990344139104688e-08
1.530000000000000000e+02,1.264256850713155341e-08,3.638789496746997522e-08,4.060606797326917042e-08
1.540000000000000000e+02,1.209183258462941051e-08,3.823195347767849599e-08,3.827831070255899753e-08
1.550000000000000000e+02,1.245016754436002479e-08,4.205446880182428178e-08,4.109645725545936942e-08
1.560000000000000000e+02,1.447575657412759226e-08,4.023090169762022271e-08,6.057616246253765820e-08
1.570000000000000000e+02,1.128344518110820611e-08,4.749561932149234600e-08,5.791018783074836542e-08
1.580000000000000000e+02,1.123671111064773406e-08,4.249961614235846509e-08,4.491127163251047927e-08
1.590000000000000000e+02,1.231535850768763122e-08,4.050904295316768014e-08,4.075139541122747704e-08
1.600000000000000000e+02,1.163275807513913102e-08,4.298480254735827615e-08,4.166592443020383143e-08
1.610000000000000000e+02,1.185138291574788535e-08,4.193996990148416618e-08,4.500830384550973293e-08
1.620000000000000000e+02,1.176221279884109321e-08,3.852295082597434916e-08,4.904854491985754944e-08
1.630000000000000000e+02,1.178677993559065114e-08,4.645721060783034446e-08,5.748836079968597664e-08
1.640000000000000000e+02,1.306099422951717925e-08,4.354406335048669540e-08,5.885375177691478779e-08
1.650000000000000000e+02,1.042297712255784006e-08,3.886253002638130871e-08,4.632308062594236246e-08
1.660000000000000000e+02,1.146344603816373420e-08,3.815198003937474678e-08,4.294900774236589517e-08
1.670000000000000000e+02,1.125542582253120273e-08,4.163883976884022383e-08,3.811700261347464707e-08
1.680000000000000000e+02,1.130317590841973267e-08,4.154200707975234209e-08,3.513785289815442884e-08
1.690000000000000000e+02,1.255292864523034215e-08,4.318053583674257096e-08,5.077192327463650166e-08
1.700000000000000000e+02,1.186269920414044940e-08,3.807760547589191721e-08,5.733782786222719111e-08
1.710000000000000000e+02,1.330873007078086420e-08,3.467000155722040837e-08,4.918526738001339328e-08
1.720000000000000000e+02,1.092822721835196798e-08,4.104919021368160398e-08,4.691309704309004743e-08
1.730000000000000000e+02,1.062557562218339984e-08,4.441931113083892822e-08,4.489228674411050431e-08
1.740000000000000000e+02,1.493292287147424216e-08,3.972821594698852852e-08,4.401571503083235697e-08
1.750000000000000000e+02,1.727929829879073428e-08,3.784263521221874768e-08,5.170646510519178350e-08
1.760000000000000000e+02,1.429963445134470528e-08,3.824192267934833694e-08,4.585989157832244849e-08
1.770000000000000000e+02,1.168681587014881350e-08,4.667618150133154620e-08,3.526121304788057449e-08
1.780000000000000000e+02,1.062471184425352250e-08,4.783357041009839835e-08,4.412975143071552788e-08
1.790000000000000000e+02,1.278531763174142844e-08,4.088337600907958137e-08,4.946482265466217897e-08
1.800000000000000000e+02,1.853985332316908789e-08,3.674809225238463237e-08,4.648659388302736478e-08
1.810000000000000000e+02,1.433969337091786448e-08,3.218267208298867411e-08,4.391303579877867680e-08
1.820000000000000000e+02,1.069818443621601213e-08,3.462042008829091917e-08,3.476865799614786160e-08
1.830000000000000000e+02,1.034222925998524825e-08,3.312786442221497466e-08,3.471619734445764557e-08
